dropout,split,well,model,RMSE,MAE,R2,NSE
0.2,selection,裂隙水3,Transformer,0.10808818999385854,0.07868540235147208,0.9701017710285998,0.9701017710285998
0.2,selection,裂隙水3,TCN,0.14176365048487047,0.10545990009186887,0.9485697363355201,0.9485697363355201
0.2,selection,裂隙水3,Stacking,0.11637660141098621,0.0829759937124912,0.9653406578632435,0.9653406578632435
0.2,selection,岩溶水1,Persistence,0.7958081679564795,0.37678762500000124,0.8959581637189312,0.8959581637189312
0.2,selection,岩溶水1,LSTM,0.7528088834642676,0.3658045218468627,0.9068976389642502,0.9068976389642502
0.2,selection,岩溶水1,Transformer,0.7714070557167051,0.44451751602168676,0.9022406201912819,0.9022406201912819
0.2,selection,岩溶水1,TCN,0.7814921089663397,0.43158705133880987,0.8996677808019705,0.8996677808019705
0.2,selection,岩溶水1,Stacking,0.7860738931150689,0.41947424710731934,0.8984878631857836,0.8984878631857836
0.2,selection,岩溶水2,Persistence,0.17737719511081998,0.10419870833333392,0.8376818469823498,0.8376818469823498
0.2,selection,岩溶水2,LSTM,0.15926353533936008,0.10392472099919368,0.8691408092716404,0.8691408092716404
0.2,selection,岩溶水2,Transformer,0.1562570518963813,0.10148426833544495,0.874034742551656,0.874034742551656
0.2,selection,岩溶水2,TCN,0.1634680206384596,0.11336098947272859,0.8621403618781661,0.8621403618781661
0.2,selection,岩溶水2,Stacking,0.17067688985395263,0.11238122332913036,0.849713155138959,0.849713155138959
0.2,selection,岩溶水3,Persistence,0.1059638303070127,0.06716666666666811,0.9186810066112293,0.9186810066112293
0.2,selection,岩溶水3,LSTM,0.08802319128196763,0.04990092412862926,0.943886040182963,0.943886040182963
0.2,selection,岩溶水3,Transformer,0.08724329399414257,0.04842339499323245,0.9448759895555143,0.9448759895555143
0.2,selection,岩溶水3,TCN,0.09519612383724646,0.056565023723572,0.9343680621130276,0.9343680621130276
0.2,selection,岩溶水3,Stacking,0.09658700262301695,0.05431868636827488,0.9324361988917689,0.9324361988917689
0.2,selection,孔隙水1,Persistence,0.07395913941865573,0.04582871930670009,0.935223848241917,0.935223848241917
0.2,selection,孔隙水1,LSTM,0.07537358526604604,0.047262877662046246,0.9327225080602728,0.9327225080602728
0.2,selection,孔隙水1,Transformer,0.07395108776148923,0.04717424703068236,0.9352379513529244,0.9352379513529244
0.2,selection,孔隙水1,TCN,0.09230215399164572,0.06129916073192459,0.8991083748923889,0.8991083748923889
0.2,selection,孔隙水1,Stacking,0.07482083221387222,0.04577710359052371,0.9337056503682712,0.9337056503682712
0.2,selection,孔隙水2,Persistence,0.32773051683763715,0.23937499999999853,0.9075485006670239,0.9075485006670239
0.2,selection,孔隙水2,LSTM,0.29758629469478415,0.22011191491974624,0.9237734884825657,0.9237734884825657
0.2,selection,孔隙水2,Transformer,0.29053425417229534,0.21467536190262823,0.9273434320093313,0.9273434320093313
0.2,selection,孔隙水2,TCN,0.34091455918344016,0.2600288813559383,0.8999605511472647,0.8999605511472647
0.2,selection,孔隙水2,Stacking,0.29852463172144,0.2363438582989829,0.9232920219222014,0.9232920219222014
0.2,selection,孔隙水3,Persistence,0.16663082948042182,0.08116666666666662,0.939812691184438,0.939812691184438
0.2,selection,孔隙水3,LSTM,0.1846268694336576,0.08062879278928298,0.9261102794526294,0.9261102794526294
0.2,selection,孔隙水3,Transformer,0.1817748732205284,0.07662802985814512,0.9283754488601333,0.9283754488601333
0.2,selection,孔隙水3,TCN,0.20537576779894434,0.11510755890214745,0.9085691804535299,0.9085691804535299
0.2,selection,孔隙水3,Stacking,0.18272022520911022,0.08153596920982978,0.9276285196442046,0.9276285196442046
0.3,selection,裂隙水1,Persistence,0.17702518653193453,0.11995833333333247,0.9714820614204666,0.9714820614204666
0.3,selection,裂隙水1,LSTM,0.1545707542131222,0.10869828607758976,0.9782578413695848,0.9782578413695848
0.3,selection,裂隙水1,Transformer,0.14272852543840697,0.09840638878860138,0.9814617145106984,0.9814617145106984
0.3,selection,裂隙水1,TCN,0.22280757523521405,0.1708443417134994,0.9548239856553873,0.9548239856553873
0.3,selection,裂隙水1,Stacking,0.19576016471048283,0.15367241571877532,0.9651264104720979,0.9651264104720979
0.3,selection,裂隙水2,Persistence,0.07488602450835985,0.04516666666666692,0.9570182357801844,0.9570182357801844
0.3,selection,裂隙水2,LSTM,0.0679025770171451,0.04107458089850174,0.9646609232101764,0.9646609232101764
0.3,selection,裂隙水2,Transformer,0.060487407749434674,0.03675237141669037,0.9719577645400485,0.9719577645400485
0.3,selection,裂隙水2,TCN,0.07477536622384613,0.04888165012189252,0.9571451693213023,0.9571451693213023
0.3,selection,裂隙水2,Stacking,0.06374730543356125,0.03747428242469984,0.9688537080437706,0.9688537080437706
0.3,selection,裂隙水3,Persistence,0.12012493496356225,0.08791666666666641,0.9630720409181802,0.9630720409181802
0.3,selection,裂隙水3,LSTM,0.11992331834233291,0.08744330934694572,0.9631958960076622,0.9631958960076622
0.3,selection,裂隙水3,Transformer,0.108094406528943,0.07824398374260338,0.9700983318233692,0.9700983318233692
0.3,selection,裂隙水3,TCN,0.13818926721911629,0.10429848769330323,0.9511305329746049,0.9511305329746049
0.3,selection,裂隙水3,Stacking,0.11816466474289651,0.08489388181275241,0.964267431982043,0.964267431982043
0.3,selection,岩溶水1,Persistence,0.7958081679564795,0.37678762500000124,0.8959581637189312,0.8959581637189312
