split,well,seed,scenario_id,aquifer,model_a,model_b,p_a_better_than_b,p_b_better_than_a,a_win_rate,b_win_rate,tie_rate,dominates,dominance_label,loss
test,岩溶水2,,岩溶水2,岩溶水2,DynamicGatedStacking,Transformer,0.1496,0.8504,0.1496,0.8504,0.0,False,unstable,squared
test,岩溶水2,,岩溶水2,岩溶水2,TCN,DynamicGatedStacking,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,岩溶水2,,岩溶水2,岩溶水2,DynamicGatedStacking,TCN,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,岩溶水3,,岩溶水3,岩溶水3,LSTM,Transformer,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,岩溶水3,,岩溶水3,岩溶水3,Transformer,LSTM,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,岩溶水3,,岩溶水3,岩溶水3,LSTM,TCN,0.9886,0.0114,0.9886,0.0114,0.0,True,reproducible,squared
test,岩溶水3,,岩溶水3,岩溶水3,TCN,LSTM,0.0114,0.9886,0.0114,0.9886,0.0,False,unstable,squared
test,岩溶水3,,岩溶水3,岩溶水3,LSTM,DynamicGatedStacking,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,岩溶水3,,岩溶水3,岩溶水3,DynamicGatedStacking,LSTM,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,岩溶水3,,岩溶水3,岩溶水3,Transformer,TCN,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,岩溶水3,,岩溶水3,岩溶水3,TCN,Transformer,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,岩溶水3,,岩溶水3,岩溶水3,Transformer,DynamicGatedStacking,0.0,1.0,0.0,1.0,0.0,False,unstable,squared
test,岩溶水3,,岩溶水3,岩溶水3,DynamicGatedStacking,Transformer,1.0,0.0,1.0,0.0,0.0,True,reproducible,squared
test,岩溶水3,,岩溶水3,岩溶水3,TCN,DynamicGatedStacking,0.5632,0.4368,0.5632,0.4368,0.0,False,unstable,squared
test,岩溶水3,,岩溶水3,岩溶水3,DynamicGatedStacking,TCN,0.4368,0.5632,0.4368,0.5632,0.0,False,unstable,squared
test,岩溶水4,,岩溶水4,岩溶水4,LSTM,Transformer,0.4656,0.5344,0.4656,0.5344,0.0,False,unstable,squared
test,岩溶水4,,岩溶水4,岩溶水4,Transformer,LSTM,0.5344,0.4656,0.5344,0.4656,0.0,False,unstable,squared
test,岩溶水4,,岩溶水4,岩溶水4,LSTM,TCN,0.8372,0.1628,0.8372,0.1628,0.0,False,trend,squared
test,岩溶水4,,岩溶水4,岩溶水4,TCN,LSTM,0.1628,0.8372,0.1628,0.8372,0.0,False,unstable,squared
test,岩溶水4,,岩溶水4,岩溶水4,LSTM,DynamicGatedStacking,0.0186,0.9814,0.0186,0.9814,0.0,False,unstable,squared
test,岩溶水4,,岩溶水4,岩溶水4,DynamicGatedStacking,LSTM,0.9814,0.0186,0.9814,0.0186,0.0,True,reproducible,squared
test,岩溶水4,,岩溶水4,岩溶水4,Transformer,TCN,0.8004,0.1996,0.8004,0.1996,0.0,False,trend,squared
test,岩溶水4,,岩溶水4,岩溶水4,TCN,Transformer,0.1996,0.8004,0.1996,0.8004,0.0,False,unstable,squared
test,岩溶水4,,岩溶水4,岩溶水4,Transformer,DynamicGatedStacking,0.0424,0.9576,0.0424,0.9576,0.0,False,unstable,squared
test,岩溶水4,,岩溶水4,岩溶水4,DynamicGatedStacking,Transformer,0.9576,0.0424,0.9576,0.0424,0.0,True,reproducible,squared
test,岩溶水4,,岩溶水4,岩溶水4,TCN,DynamicGatedStacking,0.0124,0.9876,0.0124,0.9876,0.0,False,unstable,squared
test,岩溶水4,,岩溶水4,岩溶水4,DynamicGatedStacking,TCN,0.9876,0.0124,0.9876,0.0124,0.0,True,reproducible,squared
test,岩溶水5,,岩溶水5,岩溶水5,LSTM,Transformer,0.0136,0.9864,0.0136,0.9864,0.0,False,unstable,squared
test,岩溶水5,,岩溶水5,岩溶水5,Transformer,LSTM,0.9864,0.0136,0.9864,0.0136,0.0,True,reproducible,squared
test,岩溶水5,,岩溶水5,岩溶水5,LSTM,TCN,0.0774,0.9226,0.0774,0.9226,0.0,False,unstable,squared
test,岩溶水5,,岩溶水5,岩溶水5,TCN,LSTM,0.9226,0.0774,0.9226,0.0774,0.0,False,trend,squared
test,岩溶水5,,岩溶水5,岩溶水5,LSTM,DynamicGatedStacking,0.0004,0.9996,0.0004,0.9996,0.0,False,unstable,squared
test,岩溶水5,,岩溶水5,岩溶水5,DynamicGatedStacking,LSTM,0.9996,0.0004,0.9996,0.0004,0.0,True,reproducible,squared
test,岩溶水5,,岩溶水5,岩溶水5,Transformer,TCN,0.7554,0.2446,0.7554,0.2446,0.0,False,trend,squared
test,岩溶水5,,岩溶水5,岩溶水5,TCN,Transformer,0.2446,0.7554,0.2446,0.7554,0.0,False,unstable,squared
test,岩溶水5,,岩溶水5,岩溶水5,Transformer,DynamicGatedStacking,0.7318,0.2682,0.7318,0.2682,0.0,False,trend,squared
test,岩溶水5,,岩溶水5,岩溶水5,DynamicGatedStacking,Transformer,0.2682,0.7318,0.2682,0.7318,0.0,False,unstable,squared
test,岩溶水5,,岩溶水5,岩溶水5,TCN,DynamicGatedStacking,0.2414,0.7586,0.2414,0.7586,0.0,False,unstable,squared
test,岩溶水5,,岩溶水5,岩溶水5,DynamicGatedStacking,TCN,0.7586,0.2414,0.7586,0.2414,0.0,False,trend,squared
test,裂隙水1,,裂隙水1,裂隙水1,LSTM,Transformer,0.0416,0.9584,0.0416,0.9584,0.0,False,unstable,squared
test,裂隙水1,,裂隙水1,裂隙水1,Transformer,LSTM,0.9584,0.0416,0.9584,0.0416,0.0,True,reproducible,squared
test,裂隙水1,,裂隙水1,裂隙水1,LSTM,TCN,0.9814,0.0186,0.9814,0.0186,0.0,True,reproducible,squared
test,裂隙水1,,裂隙水1,裂隙水1,TCN,LSTM,0.0186,0.9814,0.0186,0.9814,0.0,False,unstable,squared
test,裂隙水1,,裂隙水1,裂隙水1,LSTM,DynamicGatedStacking,0.1384,0.8616,0.1384,0.8616,0.0,False,unstable,squared
test,裂隙水1,,裂隙水1,裂隙水1,DynamicGatedStacking,LSTM,0.8616,0.1384,0.8616,0.1384,0.0,False,trend,squared
test,裂隙水1,,裂隙水1,裂隙水1,Transformer,TCN,0.9984,0.0016,0.9984,0.0016,0.0,True,reproducible,squared
test,裂隙水1,,裂隙水1,裂隙水1,TCN,Transformer,0.0016,0.9984,0.0016,0.9984,0.0,False,unstable,squared
test,裂隙水1,,裂隙水1,裂隙水1,Transformer,DynamicGatedStacking,0.9652,0.0348,0.9652,0.0348,0.0,True,reproducible,squared
test,裂隙水1,,裂隙水1,裂隙水1,DynamicGatedStacking,Transformer,0.0348,0.9652,0.0348,0.9652,0.0,False,unstable,squared
test,裂隙水1,,裂隙水1,裂隙水1,TCN,DynamicGatedStacking,0.0026,0.9974,0.0026,0.9974,0.0,False,unstable,squared
test,裂隙水1,,裂隙水1,裂隙水1,DynamicGatedStacking,TCN,0.9974,0.0026,0.9974,0.0026,0.0,True,reproducible,squared
test,裂隙水2,,裂隙水2,裂隙水2,LSTM,Transformer,0.1832,0.8168,0.1832,0.8168,0.0,False,unstable,squared
