split,well,seed,scenario_id,aquifer,model,loss,bootstrap_method,block_size,mean_risk,risk_q05,risk_q50,risk_q95,n_points
test,孔隙水5,,孔隙水5,孔隙水5,Transformer,squared,block,8,0.00034789581403028234,0.00026279557752076094,0.00034688095418813723,0.00043753877439979766,71
test,孔隙水5,,孔隙水5,孔隙水5,TCN,squared,block,8,0.0015658545306777797,0.0010963395429641723,0.0015561913991269066,0.002074578606937294,71
test,孔隙水5,,孔隙水5,孔隙水5,DynamicGatedStacking,squared,block,8,0.0006925035945603188,0.00034122360631287733,0.0006724837510888476,0.0011079503742592461,71
test,岩溶水1,,岩溶水1,岩溶水1,LSTM,squared,block,8,0.4908320144042189,0.21464263258457675,0.46870169734115175,0.839665970714053,71
test,岩溶水1,,岩溶水1,岩溶水1,Transformer,squared,block,8,0.6107188194698124,0.3466762291735397,0.5949562652815533,0.9232430590037461,71
test,岩溶水1,,岩溶水1,岩溶水1,TCN,squared,block,8,0.7971744432349606,0.3556487552772324,0.75614629284862,1.4158581999884283,71
test,岩溶水1,,岩溶水1,岩溶水1,DynamicGatedStacking,squared,block,8,0.5377021088962846,0.23886813311257726,0.5086758429505063,0.9352625054500202,71
test,岩溶水2,,岩溶水2,岩溶水2,LSTM,squared,block,8,0.5075697849014315,0.3060938948074155,0.49424303961792726,0.7465164785374881,71
test,岩溶水2,,岩溶水2,岩溶水2,Transformer,squared,block,8,0.31603271375729064,0.21973079100319642,0.3126077233699256,0.4198130170617161,71
test,岩溶水2,,岩溶水2,岩溶水2,TCN,squared,block,8,0.6413615206932295,0.428516340351102,0.632721814237389,0.8851386469566455,71
test,岩溶水2,,岩溶水2,岩溶水2,DynamicGatedStacking,squared,block,8,0.3432256050838461,0.23095785260443838,0.3388528776194267,0.46393377284679826,71
test,岩溶水3,,岩溶水3,岩溶水3,LSTM,squared,block,8,0.10759649656481975,0.03652755345051118,0.074623783337529,0.24402648895291995,71
test,岩溶水3,,岩溶水3,岩溶水3,Transformer,squared,block,8,0.3615929102574803,0.2264641216065599,0.3490101926230782,0.5334033686442037,71
test,岩溶水3,,岩溶水3,岩溶水3,TCN,squared,block,8,0.1904140652603193,0.10020555800591285,0.16903486835072762,0.331869196747726,71
test,岩溶水3,,岩溶水3,岩溶水3,DynamicGatedStacking,squared,block,8,0.1933178838512406,0.11666961661664733,0.16414012409453826,0.33021305717242844,71
test,岩溶水4,,岩溶水4,岩溶水4,LSTM,squared,block,8,0.34071662100491756,0.24495683978480917,0.3391969761247339,0.44126503825260094,71
test,岩溶水4,,岩溶水4,岩溶水4,Transformer,squared,block,8,0.3363773908063242,0.21783683927083516,0.3350408149521065,0.46026758308077675,71
test,岩溶水4,,岩溶水4,岩溶水4,TCN,squared,block,8,0.3934278867711087,0.304668201833624,0.39125406075692426,0.48587284313423135,71
test,岩溶水4,,岩溶水4,岩溶水4,DynamicGatedStacking,squared,block,8,0.28610269194455795,0.18289557932711167,0.28301534246366383,0.39822040921576213,71
test,岩溶水5,,岩溶水5,岩溶水5,LSTM,squared,block,8,0.09834238651322068,0.0643415831817028,0.09689419309036111,0.13781338237469493,71
