dropout,well,model,RMSE,MAE,R2,NSE
0.2,孔隙水,LSTM,0.038317380567397155,0.02706605841739733,0.986885611667971,0.986885611667971
0.2,孔隙水,Transformer,0.041208933342172106,0.03178832290478963,0.9848316213554394,0.9848316213554394
0.2,孔隙水,TCN,0.06456246594236315,0.05141322023766489,0.9627679770031674,0.9627679770031674
0.2,孔隙水,Stacking,0.04991205518979074,0.03876609722175633,0.9777480886878752,0.9777480886878752
0.2,裂隙水,LSTM,0.08872196604726741,0.06367920086704043,0.9563858219679763,0.9563858219679763
0.2,裂隙水,Transformer,0.08732616208153725,0.061908910866559495,0.9577473331655921,0.9577473331655921
0.2,裂隙水,TCN,0.10874893343448676,0.07905796959689076,0.9344737385343961,0.9344737385343961
0.2,裂隙水,Stacking,0.11820159143948496,0.08031975088551242,0.9225873337751961,0.9225873337751961
0.3,岩溶水,LSTM,0.3651045632929759,0.2623525123602061,0.976842813534903,0.976842813534903
0.3,岩溶水,Transformer,0.4741302893071259,0.37695504278790165,0.9609476950592788,0.9609476950592788
0.3,岩溶水,TCN,0.6642691632827024,0.5481354055780676,0.9233451823738958,0.9233451823738958
0.3,岩溶水,Stacking,0.5406328154015793,0.38672000246202465,0.949224281614064,0.949224281614064
0.3,孔隙水,LSTM,0.03662040515075821,0.025764485898329775,0.9880214926333455,0.9880214926333455
0.3,孔隙水,Transformer,0.06814581733474474,0.05553369328124822,0.9585203747347784,0.9585203747347784
0.3,孔隙水,TCN,0.059952531026987776,0.04848261433143672,0.9678950897865892,0.9678950897865892
0.3,孔隙水,Stacking,0.04628210865011047,0.035642014096568815,0.9808670168193333,0.9808670168193333
0.3,裂隙水,LSTM,0.09483032475356012,0.06977175098164337,0.9501735605995445,0.9501735605995445
0.3,裂隙水,Transformer,0.0858667685363459,0.06273720851883743,0.9591477843009732,0.9591477843009732
0.3,裂隙水,TCN,0.1011952880477653,0.07596758104307165,0.943260440503707,0.943260440503707
0.3,裂隙水,Stacking,0.11873042031626765,0.08326312602545767,0.9218931023290592,0.9218931023290592
0.4,岩溶水,LSTM,0.383587836072311,0.29665111376772113,0.9744388184922549,0.9744388184922549
0.4,岩溶水,Transformer,0.4895790347676323,0.3570806338632448,0.9583613256849141,0.9583613256849141
0.4,岩溶水,TCN,0.5813395543883487,0.4353898266565673,0.9412901437056856,0.9412901437056856
0.4,岩溶水,Stacking,0.5285241191350205,0.3813739210549723,0.951473285020392,0.951473285020392
0.4,孔隙水,LSTM,0.047659995872509874,0.03692786822061702,0.9797108237209664,0.9797108237209664
0.4,孔隙水,Transformer,0.038914380764688665,0.028497356747213348,0.9864737732767841,0.9864737732767841
0.4,孔隙水,TCN,0.05843083783061228,0.045449407738797167,0.9695041570831364,0.9695041570831364
0.4,孔隙水,Stacking,0.05135792161266376,0.04073322580873338,0.9764402165213434,0.9764402165213434
0.4,裂隙水,LSTM,0.09028282134392278,0.0665382578625233,0.9548377445823393,0.9548377445823393
0.4,裂隙水,Transformer,0.09020413283545205,0.06806884865474139,0.9549164351190322,0.9549164351190322
0.4,裂隙水,TCN,0.10273188265203091,0.07826842755665932,0.9415242404089595,0.9415242404089595
0.4,裂隙水,Stacking,0.12211274240259473,0.08199947596317987,0.9173795897091201,0.9173795897091201
0.5,岩溶水,LSTM,0.39825292930134315,0.28675608391296226,0.9724469786752507,0.9724469786752507
0.5,岩溶水,Transformer,0.5601461864316418,0.42564953519390647,0.9454927793504243,0.9454927793504243
0.5,岩溶水,TCN,0.7168166169523913,0.5909314572436154,0.9107378384536305,0.9107378384536305
