lookback,well,model,RMSE,MAE,R2,NSE
38,孔隙水,TCN,0.09473362600698489,0.07227451144771711,0.9533251719776095,0.9533251719776095
38,孔隙水,Stacking,0.04481465212207528,0.03352366575810167,0.989554855216121,0.989554855216121
38,裂隙水,LSTM,0.09836064446047887,0.07197846682641817,0.9513603098553438,0.9513603098553438
38,裂隙水,Transformer,0.09330220597469213,0.061146818041772716,0.9562345001910364,0.9562345001910364
38,裂隙水,TCN,0.11438247011567769,0.08512145471589791,0.9342240679972116,0.9342240679972116
38,裂隙水,Stacking,0.09032788597041333,0.06415627570002962,0.9589803679146275,0.9589803679146275
44,岩溶水,LSTM,0.3312289055681605,0.23822083437290612,0.9806610292013958,0.9806610292013958
44,岩溶水,Transformer,0.38536389269381843,0.2845048088374211,0.9738230562993666,0.9738230562993666
44,岩溶水,TCN,0.5176939204390479,0.39803610649030735,0.9527585707792096,0.9527585707792096
44,岩溶水,Stacking,0.424204403778391,0.32108770236980216,0.9682804334635546,0.9682804334635546
44,孔隙水,LSTM,0.04071630777270081,0.02826292831622754,0.9914322656885295,0.9914322656885295
44,孔隙水,Transformer,0.04655949247688592,0.036167391546264506,0.9887967071447087,0.9887967071447087
44,孔隙水,TCN,0.06613716232766867,0.05214428815223911,0.9773941767428579,0.9773941767428579
44,孔隙水,Stacking,0.04232886948055117,0.032761752184152344,0.9907401798344816,0.9907401798344816
44,裂隙水,LSTM,0.09292053232283211,0.06876193162581641,0.9569889326032407,0.9569889326032407
44,裂隙水,Transformer,0.09048631185445603,0.0582984521240592,0.9592129198388499,0.9592129198388499
44,裂隙水,TCN,0.12061558442996648,0.08880575872445595,0.9275290935763963,0.9275290935763963
44,裂隙水,Stacking,0.08990147196365031,0.06140839503569132,0.9597384540012079,0.9597384540012079
50,岩溶水,LSTM,0.3764827379668674,0.2804915964793733,0.9751270004705723,0.9751270004705723
50,岩溶水,Transformer,0.4028660829479873,0.3108918107238374,0.9715187243510988,0.9715187243510988
50,岩溶水,TCN,0.5293330708098284,0.40578620458791065,0.9508304672679576,0.9508304672679576
50,岩溶水,Stacking,0.44975875416647454,0.34569718166022506,0.9645025402277868,0.9645025402277868
50,孔隙水,LSTM,0.04301580359997617,0.029488449848468084,0.9904651662517985,0.9904651662517985
50,孔隙水,Transformer,0.05759054405433068,0.042532065670674545,0.9829093174917884,0.9829093174917884
50,孔隙水,TCN,0.07612656080042686,0.06327622864221435,0.9701372730238098,0.9701372730238098
50,孔隙水,Stacking,0.0472988400092798,0.03433609217769988,0.9884718923405932,0.9884718923405932
50,裂隙水,LSTM,0.08953992718362033,0.06660373365835982,0.9596929009850496,0.9596929009850496
50,裂隙水,Transformer,0.09388831956630878,0.06410319700291467,0.9556829135688044,0.9556829135688044
50,裂隙水,TCN,0.12322190272656608,0.09240633859704818,0.9236649683884134,0.9236649683884134
50,裂隙水,Stacking,0.09657846719244277,0.06991628815008533,0.9531069279335731,0.9531069279335731
