split,aquifer_type,well,model,RMSE,MAE,R2,NSE
future_holdout,裂隙水,裂隙水3,TCN,0.28858153793980806,0.24653581354497003,0.6802318942436629,0.6802318942436629
future_holdout,裂隙水,裂隙水3,Stacking,0.17191748878251384,0.13923960989009931,0.8865150750967403,0.8865150750967403
test,岩溶水,岩溶水1,Persistence,0.7678859082058579,0.2909351219512198,0.9192105196078579,0.9192105196078579
test,岩溶水,岩溶水1,LSTM,0.7721298400361823,0.28493832604291947,0.9183150414840304,0.9183150414840304
test,岩溶水,岩溶水1,Transformer,0.7561433229164934,0.3426488562254563,0.9216625081678853,0.9216625081678853
test,岩溶水,岩溶水1,TCN,0.8610554556392831,0.499750716038344,0.8984163847178923,0.8984163847178923
test,岩溶水,岩溶水1,Stacking,0.741798399821719,0.3282810585103765,0.9246066217527891,0.9246066217527891
future_holdout,岩溶水,岩溶水1,Persistence,1.1213895134683076,1.0412683333333443,-6.257345987608038,-6.257345987608038
future_holdout,岩溶水,岩溶水1,LSTM,0.9896686323642037,0.9336884093263659,-4.652550591776773,-4.652550591776773
future_holdout,岩溶水,岩溶水1,Transformer,0.2977549367855535,0.2515957248422069,0.4883384421621201,0.4883384421621201
future_holdout,岩溶水,岩溶水1,TCN,0.4698947348198226,0.3853122296550794,-0.274283338510511,-0.274283338510511
future_holdout,岩溶水,岩溶水1,Stacking,0.46382014352875306,0.30862530766086704,-0.24154955623352037,-0.24154955623352037
test,岩溶水,岩溶水2,Persistence,0.1834468980187031,0.09834186991870328,0.6896335906089905,0.6896335906089905
test,岩溶水,岩溶水2,LSTM,0.1599361671787923,0.08473465877348901,0.7640894652197607,0.7640894652197607
test,岩溶水,岩溶水2,Transformer,0.16312656833507283,0.08524749016159403,0.7545837209351163,0.7545837209351163
test,岩溶水,岩溶水2,TCN,0.16275124472740166,0.09684484039305599,0.7557117353311588,0.7557117353311588
test,岩溶水,岩溶水2,Stacking,0.22137580449446664,0.12104643611650875,0.5480251473309989,0.5480251473309989
future_holdout,岩溶水,岩溶水2,Persistence,0.20046676352120626,0.18774366666666728,-2.3512907921855923,-2.3512907921855923
future_holdout,岩溶水,岩溶水2,LSTM,0.0685594749164689,0.057849535376563684,0.608021432843681,0.608021432843681
future_holdout,岩溶水,岩溶水2,Transformer,0.10292024398898214,0.08383164103746783,0.11665781784397855,0.11665781784397855
future_holdout,岩溶水,岩溶水2,TCN,0.10149427745440587,0.08628443461042253,0.1409657733870463,0.1409657733870463
future_holdout,岩溶水,岩溶水2,Stacking,0.08688072775076,0.05963499046704897,0.3705311321159618,0.3705311321159618
test,岩溶水,岩溶水3,Persistence,0.0894641749437934,0.047765528455284964,0.8991416848504005,0.8991416848504005
test,岩溶水,岩溶水3,LSTM,0.0598607746701592,0.036062977447246375,0.9548458103896185,0.9548458103896185
test,岩溶水,岩溶水3,Transformer,0.06870844340637716,0.03698848299052546,0.9405114194992487,0.9405114194992487
test,岩溶水,岩溶水3,TCN,0.07428519779941012,0.04829732149732713,0.9304626790256496,0.9304626790256496
test,岩溶水,岩溶水3,Stacking,0.07672857400965803,0.046512413675871146,0.9258130288134554,0.9258130288134554
future_holdout,岩溶水,岩溶水3,Persistence,0.7100971680176585,0.6643186666666907,-7.014119981943349,-7.014119981943349
future_holdout,岩溶水,岩溶水3,LSTM,0.19791843083713337,0.18795630603542576,0.37742345212857,0.37742345212857
future_holdout,岩溶水,岩溶水3,Transformer,0.24997420919656943,0.21967625681617164,0.0068595171391599985,0.0068595171391599985
future_holdout,岩溶水,岩溶水3,TCN,0.26557879514267346,0.2524352533553251,-0.12100376565351834,-0.12100376565351834
future_holdout,岩溶水,岩溶水3,Stacking,0.18435582146806853,0.16758931994957985,0.4598256090570201,0.4598256090570201
test,孔隙水,孔隙水1,Persistence,0.05356782798585321,0.03552845528455311,0.9666238902364795,0.9666238902364795
test,孔隙水,孔隙水1,LSTM,0.07124274423489795,0.04613940322113978,0.9409650880195968,0.9409650880195968
test,孔隙水,孔隙水1,Transformer,0.06261723427565227,0.03889660481506866,0.9543946909478772,0.9543946909478772
test,孔隙水,孔隙水1,TCN,0.06914629046478762,0.04699716758876597,0.944388397147647,0.944388397147647
test,孔隙水,孔隙水1,Stacking,0.0651193525516815,0.043521602268795714,0.9506771926121371,0.9506771926121371
future_holdout,孔隙水,孔隙水1,Persistence,0.13688498822003572,0.10549999999999689,-0.24948829420902108,-0.24948829420902108
future_holdout,孔隙水,孔隙水1,LSTM,0.1550495843187015,0.13386209493580356,-0.6031042240622637,-0.6031042240622637
future_holdout,孔隙水,孔隙水1,Transformer,0.21857836170223138,0.18633062554044055,-2.185920093060132,-2.185920093060132
future_holdout,孔隙水,孔隙水1,TCN,0.07776597806199717,0.07113029044395916,0.5967263714515307,0.5967263714515307
future_holdout,孔隙水,孔隙水1,Stacking,0.12857629069204202,0.11989565470340342,-0.10240793651047664,-0.10240793651047664
test,孔隙水,孔隙水2,Persistence,0.30821080843965676,0.2109756097561007,0.9003664895159975,0.9003664895159975
test,孔隙水,孔隙水2,LSTM,0.31780113255363335,0.24422549804924942,0.894069606784826,0.894069606784826
test,孔隙水,孔隙水2,Transformer,0.3032771091369024,0.22428660756756752,0.9035307356647727,0.9035307356647727
test,孔隙水,孔隙水2,TCN,0.3245130782002605,0.2395039564774622,0.8895478659733582,0.8895478659733582
test,孔隙水,孔隙水2,Stacking,0.3327809583800538,0.2607672600897416,0.8838480141005463,0.8838480141005463
future_holdout,孔隙水,孔隙水2,Persistence,0.7443307956368213,0.7016666666666747,-0.08648274103878228,-0.08648274103878228
future_holdout,孔隙水,孔隙水2,LSTM,0.3767065051189244,0.30377470976493254,0.7217103233482232,0.7217103233482232
future_holdout,孔隙水,孔隙水2,Transformer,0.4965119112019768,0.424414901494985,0.5165515193989274,0.5165515193989274
future_holdout,孔隙水,孔隙水2,TCN,0.323314932179825,0.295921032955863,0.7950054183356934,0.7950054183356934
