seed,split,model,mean_per_well_nrmse,weighted_rmse,mean_nse,n_wells,n_rows
50,selection,TCN,0.06510521626407485,0.6371702235550306,0.9089940842009159,15,15
50,selection,LSTM,0.06577647959860447,0.6786619040254506,0.9051283836700873,15,15
40,test,DynamicGatedStacking,0.06987368453253827,0.3333101702473074,0.9090213668374082,15,15
40,test,Transformer,0.07068383897205038,0.3440931204149596,0.9066727441082794,15,15
40,test,LSTM,0.07823126447112609,0.4098809962140108,0.8870900851397843,15,15
40,test,TCN,0.08230880264433528,0.3710358379461527,0.8796695391122532,15,15
41,test,Transformer,0.06953643656594169,0.33556139805340124,0.9112490762501957,15,15
41,test,DynamicGatedStacking,0.07046255210699794,0.3361726892698008,0.9074096681529085,15,15
41,test,LSTM,0.07725542365501283,0.36166129976207917,0.8898287305140613,15,15
41,test,TCN,0.08428989591433135,0.38764434932268543,0.8732714731836483,15,15
42,test,Transformer,0.07060152143570898,0.3428047499115043,0.9081668574706845,15,15
42,test,DynamicGatedStacking,0.07114741974924496,0.3475021799084777,0.9059011218586891,15,15
42,test,LSTM,0.07894759605373478,0.42923426967102646,0.88380633246055,15,15
42,test,TCN,0.08392324657384634,0.40325433117172343,0.8747111681025712,15,15
43,test,DynamicGatedStacking,0.07060872597792191,0.3452845426220583,0.9071072505130505,15,15
43,test,Transformer,0.07195408263335751,0.3475978101206898,0.9054436995690885,15,15
43,test,LSTM,0.07906039291146051,0.3972295650563372,0.883449432422082,15,15
43,test,TCN,0.08039559822271841,0.4044924128771499,0.88817598733179,15,15
44,test,DynamicGatedStacking,0.06907093243372679,0.3370185545047138,0.9104303842984798,15,15
44,test,Transformer,0.07103369046808358,0.3617520551731049,0.9050142388240665,15,15
44,test,LSTM,0.07662374338605787,0.362944674175372,0.8907858378092419,15,15
44,test,TCN,0.08113246113872967,0.40295428360684205,0.8804331256293865,15,15
45,test,DynamicGatedStacking,0.0697950271672183,0.32480622716820595,0.9083379403317425,15,15
45,test,Transformer,0.07214845256669959,0.3344515960894693,0.9044313576088668,15,15
45,test,LSTM,0.07836150630830428,0.3873181515447195,0.88552523112579,15,15
45,test,TCN,0.0850995257201435,0.38651605174121906,0.8718370672044566,15,15
46,test,DynamicGatedStacking,0.07139408322650566,0.3490418161491496,0.9047150211093861,15,15
46,test,Transformer,0.07390582976586635,0.35400421643960733,0.8995309619042673,15,15
46,test,LSTM,0.07888689323099739,0.4045070769689625,0.8842798814644363,15,15
46,test,TCN,0.08382169399725328,0.3910947459848821,0.8766298620192376,15,15
47,test,DynamicGatedStacking,0.07197784171755188,0.3374708908246792,0.9037943107320762,15,15
47,test,Transformer,0.07286722176834667,0.34281702231328304,0.9044005211608123,15,15
47,test,LSTM,0.07912453640280297,0.3710817566157513,0.8846371335417467,15,15
47,test,TCN,0.0844302051758841,0.39784836909237165,0.8730823434595935,15,15
48,test,DynamicGatedStacking,0.06939691524178486,0.3355380369799275,0.9082218809585338,15,15
48,test,Transformer,0.07096154685519288,0.32617083932565066,0.9059180182186886,15,15
48,test,LSTM,0.07747221436460014,0.371711615876904,0.8882551401678666,15,15
48,test,TCN,0.08161008709107717,0.40059698660776455,0.8787279668768769,15,15
49,test,DynamicGatedStacking,0.07005025872726418,0.3342562475409998,0.9078883367109652,15,15
49,test,Transformer,0.07129705062614611,0.32776374683572307,0.9073016871700565,15,15
49,test,LSTM,0.07679060598712208,0.3713620811090679,0.8876093782370735,15,15
49,test,TCN,0.0830311392740651,0.4305233136573278,0.8754521305547063,15,15
50,test,DynamicGatedStacking,0.07049046041726248,0.3499689757666235,0.905794877655636,15,15
50,test,Transformer,0.0714185330070467,0.3426193537421935,0.9050502043385416,15,15
50,test,LSTM,0.07792623017149122,0.3882543447104091,0.8875000112238757,15,15
50,test,TCN,0.08616357781701364,0.45427247373515467,0.865459354841024,15,15
