lookback,split,well,model,RMSE,MAE,R2,NSE
18,selection,岩溶水1,Stacking,0.7826363896216072,0.4172321730292327,0.8993737477112492,0.8993737477112492
18,selection,岩溶水2,Persistence,0.17737719511081998,0.10419870833333392,0.8376818469823498,0.8376818469823498
18,selection,岩溶水2,LSTM,0.15926353533936008,0.10392472099919368,0.8691408092716404,0.8691408092716404
18,selection,岩溶水2,Transformer,0.1562570518963813,0.10148426833544495,0.874034742551656,0.874034742551656
18,selection,岩溶水2,TCN,0.16337141927806934,0.11328365621025066,0.8623032499289173,0.8623032499289173
18,selection,岩溶水2,Stacking,0.16883056320354226,0.11199734652906722,0.8529470759210895,0.8529470759210895
18,selection,岩溶水3,Persistence,0.1059638303070127,0.06716666666666811,0.9186810066112293,0.9186810066112293
18,selection,岩溶水3,LSTM,0.08802319128196763,0.04990092412862926,0.943886040182963,0.943886040182963
18,selection,岩溶水3,Transformer,0.08724329399414257,0.04842339499323245,0.9448759895555143,0.9448759895555143
18,selection,岩溶水3,TCN,0.09529601666952338,0.05661782351158777,0.9342302497797044,0.9342302497797044
18,selection,岩溶水3,Stacking,0.09771814508572685,0.0552927919757316,0.9308444362433314,0.9308444362433314
18,selection,孔隙水1,Persistence,0.07395913941865573,0.04582871930670009,0.935223848241917,0.935223848241917
18,selection,孔隙水1,LSTM,0.07537358526604604,0.047262877662046246,0.9327225080602728,0.9327225080602728
18,selection,孔隙水1,Transformer,0.07395108776148923,0.04717424703068236,0.9352379513529244,0.9352379513529244
18,selection,孔隙水1,TCN,0.09236279576473069,0.06135681448268713,0.898975761370584,0.898975761370584
18,selection,孔隙水1,Stacking,0.07401853489616352,0.044923972284503046,0.9351197649496041,0.9351197649496041
18,selection,孔隙水2,Persistence,0.32773051683763715,0.23937499999999853,0.9075485006670239,0.9075485006670239
18,selection,孔隙水2,LSTM,0.29758629469478415,0.22011191491974624,0.9237734884825657,0.9237734884825657
18,selection,孔隙水2,Transformer,0.29053425417229534,0.21467536190262823,0.9273434320093313,0.9273434320093313
18,selection,孔隙水2,TCN,0.34184992298100036,0.26073933544421235,0.8994108436367713,0.8994108436367713
18,selection,孔隙水2,Stacking,0.2992344799317826,0.2402346702761354,0.9229267873420445,0.9229267873420445
18,selection,孔隙水3,Persistence,0.16663082948042182,0.08116666666666662,0.939812691184438,0.939812691184438
18,selection,孔隙水3,LSTM,0.1846268694336576,0.08062879278928298,0.9261102794526294,0.9261102794526294
18,selection,孔隙水3,Transformer,0.1817748732205284,0.07662802985814512,0.9283754488601333,0.9283754488601333
18,selection,孔隙水3,TCN,0.2051679054744609,0.11529524185360594,0.9087541624046368,0.9087541624046368
18,selection,孔隙水3,Stacking,0.1824979243319253,0.08128140887564565,0.9278045095426121,0.9278045095426121
26,selection,裂隙水1,Persistence,0.17732319262959095,0.12016736401673557,0.9716198828302363,0.9716198828302363
26,selection,裂隙水1,LSTM,0.1585578299651376,0.11174786381150408,0.9773087465359356,0.9773087465359356
26,selection,裂隙水1,Transformer,0.1490367026956287,0.10077036432107842,0.9799520686083101,0.9799520686083101
26,selection,裂隙水1,TCN,0.22839723256571293,0.17142177238997505,0.9529169297712432,0.9529169297712432
26,selection,裂隙水1,Stacking,0.20466213552290205,0.1575804757515035,0.9621942286843554,0.9621942286843554
26,selection,裂隙水2,Persistence,0.07501743172597627,0.0452301255230128,0.9569647464823545,0.9569647464823545
26,selection,裂隙水2,LSTM,0.06524927175452438,0.038591872191903624,0.9674424796944454,0.9674424796944454
26,selection,裂隙水2,Transformer,0.06092760387312066,0.035880561204023026,0.9716124325026452,0.9716124325026452
26,selection,裂隙水2,TCN,0.07298743751803025,0.04707195097815691,0.9592623272364309,0.9592623272364309
26,selection,裂隙水2,Stacking,0.0659058398925897,0.038323494818876085,0.9667839657023827,0.9667839657023827
26,selection,裂隙水3,Persistence,0.1198604488421965,0.0875313807531379,0.9630760082315041,0.9630760082315041
26,selection,裂隙水3,LSTM,0.11807045568620556,0.08333238089273706,0.9641706173766763,0.9641706173766763
26,selection,裂隙水3,Transformer,0.10587441565124212,0.08080450058031148,0.9711902891915397,0.9711902891915397
26,selection,裂隙水3,TCN,0.14194817281569286,0.10609205409212079,0.9482135120253944,0.9482135120253944
26,selection,裂隙水3,Stacking,0.11346271440206851,0.07863656576548417,0.9669125586602061,0.9669125586602061
26,selection,岩溶水1,Persistence,0.82731698346707,0.3906766527196664,0.8882646166358577,0.8882646166358577
26,selection,岩溶水1,LSTM,0.7618501129910564,0.35249670154181595,0.9052485387310236,0.9052485387310236
26,selection,岩溶水1,Transformer,0.8126970716774209,0.39095877399069895,0.8921787819688047,0.8921787819688047
26,selection,岩溶水1,TCN,0.8176147113254829,0.43436591799826396,0.8908699791766429,0.8908699791766429
26,selection,岩溶水1,Stacking,0.8137647945976317,0.40915739603779705,0.8918952844287763,0.8918952844287763
26,selection,岩溶水2,Persistence,0.1777380678655654,0.10450397489539796,0.8375378032064313,0.8375378032064313
26,selection,岩溶水2,LSTM,0.15773529663379732,0.10514489517086681,0.8720473792691941,0.8720473792691941
26,selection,岩溶水2,Transformer,0.15481686098932218,0.09917504866190119,0.8767383641597154,0.8767383641597154
26,selection,岩溶水2,TCN,0.16797289435306056,0.11653272377039636,0.8548991945725759,0.8548991945725759
26,selection,岩溶水2,Stacking,0.19174478247829488,0.12061241202152631,0.8109230785745758,0.8109230785745758
26,selection,岩溶水3,Persistence,0.11064968888626688,0.06925669456067084,0.9128752959368485,0.9128752959368485
26,selection,岩溶水3,LSTM,0.09313475927084869,0.051842298080347515,0.9382745145281661,0.9382745145281661
26,selection,岩溶水3,Transformer,0.09140126015953393,0.05162283842687915,0.9405508994134067,0.9405508994134067
26,selection,岩溶水3,TCN,0.1061051012749381,0.06367868517853466,0.9198850713822333,0.9198850713822333
26,selection,岩溶水3,Stacking,0.10375353945653153,0.06063775606177697,0.9233968261221054,0.9233968261221054
26,selection,孔隙水1,Persistence,0.07403674403968714,0.045790345747313874,0.9361709053156055,0.9361709053156055
26,selection,孔隙水1,LSTM,0.07665597269212403,0.04881148874253632,0.9315748024757339,0.9315748024757339
26,selection,孔隙水1,Transformer,0.07020574896979417,0.04242313637545082,0.9426056137788907,0.9426056137788907
26,selection,孔隙水1,TCN,0.09089846686415505,0.05952452914641491,0.9037862418491609,0.9037862418491609
26,selection,孔隙水1,Stacking,0.0748702120585287,0.04650067703832602,0.9347257051978414,0.9347257051978414
26,selection,孔隙水2,Persistence,0.3281955866495349,0.23958158995815754,0.9070651641277254,0.9070651641277254
26,selection,孔隙水2,LSTM,0.30958224102347565,0.2261556418527559,0.9173076865090124,0.9173076865090124
26,selection,孔隙水2,Transformer,0.2877783743778038,0.21279164266383005,0.9285455348254318,0.9285455348254318
26,selection,孔隙水2,TCN,0.30570755768720576,0.23070851724205915,0.9193646614107022,0.9193646614107022
26,selection,孔隙水2,Stacking,0.3060666777373408,0.2310746420670829,0.9191751026333184,0.9191751026333184
26,selection,孔隙水3,Persistence,0.16711307023293506,0.08175732217573213,0.939612418377154,0.939612418377154
26,selection,孔隙水3,LSTM,0.1891956512986448,0.08574610084007893,0.9225985492675864,0.9225985492675864
