split,lookback,model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,NSE_mean,NSE_std
selection,32,Stacking,0.13987924697805537,0.12569357077392482,0.23423250794044156,0.2431716425042296,0.9234605839559445,0.043583157320102976,0.9234605839559445,0.043583157320102976
selection,32,TCN,0.1509006944090458,0.12871206485050615,0.24282021200600998,0.2409536980202266,0.9169067974788548,0.03300908780644776,0.9169067974788548,0.03300908780644776
selection,32,Transformer,0.12657607965614218,0.12188967584294026,0.22228352522216488,0.2441998866394246,0.9321915344187062,0.03713680640236888,0.9321915344187062,0.03713680640236888
selection,38,LSTM,0.12585916593099913,0.11101737176529701,0.2197395938683798,0.2268213700541712,0.9313114025548026,0.032609873259653824,0.9313114025548026,0.032609873259653824
selection,38,Persistence,0.13580008059458828,0.11860148322490946,0.23744209747455328,0.24956381089290433,0.9212191000513352,0.04252590700025924,0.9212191000513352,0.04252590700025924
selection,38,Stacking,0.13799650373955205,0.1221718157868561,0.2300380938376144,0.23806271592324835,0.9252472642286338,0.04266820379601818,0.9252472642286338,0.04266820379601818
selection,38,TCN,0.14900150464878767,0.12107022484495406,0.2429905678341071,0.2422517737699419,0.9163989746505052,0.032039993079714835,0.9163989746505052,0.032039993079714835
selection,38,Transformer,0.1260205329403845,0.12240946681046126,0.22125217355606588,0.24385161537205832,0.9333591580916099,0.03738589418648506,0.9333591580916099,0.03738589418648506
selection,44,LSTM,0.1278471299329838,0.11726641629808221,0.2208520096390806,0.23262768675011988,0.9325081295010187,0.03384625284415831,0.9325081295010187,0.03384625284415831
selection,44,Persistence,0.1366197864769413,0.11899115054726372,0.23796460491733099,0.24969868548587915,0.9218405656440017,0.042807233928034254,0.9218405656440017,0.042807233928034254
selection,44,Stacking,0.13634487410331264,0.11977718540938494,0.23167288641000994,0.2391494042563708,0.9250402399293873,0.04248082637806296,0.9250402399293873,0.04248082637806296
selection,44,TCN,0.1531548894058017,0.12314102299769762,0.24999536359508065,0.24140013164428675,0.9126321668011202,0.03339188449929388,0.9126321668011202,0.03339188449929388
selection,44,Transformer,0.12994170242276992,0.12131876651637896,0.2244533887423526,0.24301325899472995,0.9312983992833467,0.03759275070777047,0.9312983992833467,0.03759275070777047
selection,50,LSTM,0.12712585945691524,0.10941803208638343,0.22315729501408033,0.232202704575477,0.9298604630883263,0.0338339313960426,0.9298604630883263,0.0338339313960426
selection,50,Persistence,0.13691494732002266,0.11932965037404811,0.23840905180585276,0.25021547793627774,0.92177290438551,0.0429137061107144,0.92177290438551,0.0429137061107144
selection,50,Stacking,0.14164764492058896,0.13037013415359508,0.23365532417579496,0.24656252090942768,0.9264975122881316,0.03583958180572848,0.9264975122881316,0.03583958180572848
selection,50,TCN,0.15738843492342153,0.1302147838812496,0.2507252231774302,0.24605716317785614,0.9148640036280477,0.0295446111746962,0.9148640036280477,0.0295446111746962
selection,50,Transformer,0.13101175587008831,0.12205757588536123,0.22486480359256447,0.2472487775171637,0.932874188136609,0.038152637935161986,0.932874188136609,0.038152637935161986
