split,aquifer_type,well,model,RMSE,MAE,R2,NSE,PICP95,MPIW95,TAU_INIT
future_holdout,岩溶水,岩溶水1,LSTM,0.4290914879546266,0.39715153817765364,-0.06258736093154726,-0.06258736093154726,,,
future_holdout,岩溶水,岩溶水1,Transformer,0.28050562291161363,0.24760678447353257,0.5459036721562216,0.5459036721562216,,,
future_holdout,岩溶水,岩溶水1,TCN,1.4141211656424795,1.3288678829555995,-10.540857861261468,-10.540857861261468,,,
future_holdout,岩溶水,岩溶水1,Stacking,1.0145187345366775,0.4520294331293295,-4.939980096213652,-4.939980096213652,0.9,1.6808910255422764,0.21563202705723467
test,岩溶水,岩溶水2,Persistence,0.1834468980187031,0.09834186991870328,0.6896335906089905,0.6896335906089905,,,
test,岩溶水,岩溶水2,LSTM,0.16263633805482278,0.08593846588681624,0.7560565614796254,0.7560565614796254,,,
test,岩溶水,岩溶水2,Transformer,0.16176951657960084,0.0938162268701534,0.7586499782367562,0.7586499782367562,,,
test,岩溶水,岩溶水2,TCN,0.17680801715049363,0.10511401484642124,0.711691216028906,0.711691216028906,,,
test,岩溶水,岩溶水2,Stacking,0.1929863266433208,0.1088976789399833,0.6565155771807353,0.6565155771807353,0.959349593495935,0.7881333877930512,0.26415642082619817
future_holdout,岩溶水,岩溶水2,Persistence,0.20046676352120626,0.18774366666666728,-2.3512907921855923,-2.3512907921855923,,,
future_holdout,岩溶水,岩溶水2,LSTM,0.14574478204890337,0.12437724218710097,-0.7713867252837998,-0.7713867252837998,,,
future_holdout,岩溶水,岩溶水2,Transformer,0.16369293478171337,0.14211995713691483,-1.2345353300959352,-1.2345353300959352,,,
future_holdout,岩溶水,岩溶水2,TCN,0.12450506824369897,0.11061371089579666,-0.2927109182870431,-0.2927109182870431,,,
future_holdout,岩溶水,岩溶水2,Stacking,0.088541208742245,0.06349049057300628,0.3462401449363126,0.3462401449363126,0.9666666666666667,0.587294657080876,0.26415642082619817
test,岩溶水,岩溶水3,Persistence,0.0894641749437934,0.047765528455284964,0.8991416848504005,0.8991416848504005,,,
test,岩溶水,岩溶水3,LSTM,0.0575536775235296,0.03366046005284052,0.9582593176030345,0.9582593176030345,,,
test,岩溶水,岩溶水3,Transformer,0.06877534089911001,0.04694641339959502,0.9403955218291205,0.9403955218291205,,,
test,岩溶水,岩溶水3,TCN,0.08367375152588007,0.05491169408704154,0.911774959004719,0.911774959004719,,,
test,岩溶水,岩溶水3,Stacking,0.07058619919876502,0.04394078352732329,0.9372154217200552,0.9372154217200552,0.975609756097561,0.32496579235050665,0.24595349028171784
future_holdout,岩溶水,岩溶水3,Persistence,0.7100971680176585,0.6643186666666907,-7.014119981943349,-7.014119981943349,,,
future_holdout,岩溶水,岩溶水3,LSTM,0.17776203924249373,0.16711205186753092,0.49777500123877527,0.49777500123877527,,,
future_holdout,岩溶水,岩溶水3,Transformer,0.12749423861471956,0.11659385400980492,0.7416542042738818,0.7416542042738818,,,
future_holdout,岩溶水,岩溶水3,TCN,0.309112440647533,0.2893358834227892,-0.5186344488831487,-0.5186344488831487,,,
future_holdout,岩溶水,岩溶水3,Stacking,0.09519042311117319,0.0845225256353577,0.8559853101977304,0.8559853101977304,0.8333333333333334,0.2848317735563493,0.24595349028171784
test,孔隙水,孔隙水1,Persistence,0.05356782798585321,0.03552845528455311,0.9666238902364795,0.9666238902364795,,,
test,孔隙水,孔隙水1,LSTM,0.06494636447245532,0.04401393949461308,0.950938894379857,0.950938894379857,,,
test,孔隙水,孔隙水1,Transformer,0.059341037728888935,0.041835636723222505,0.9590420780757503,0.9590420780757503,,,
test,孔隙水,孔隙水1,TCN,0.08092770246103118,0.056094189483955545,0.9238233162876308,0.9238233162876308,,,
test,孔隙水,孔隙水1,Stacking,0.06988677513290663,0.043396177750376914,0.9431909349565116,0.9431909349565116,0.975609756097561,0.29648830810272514,0.2368990170839965
future_holdout,孔隙水,孔隙水1,Persistence,0.13688498822003572,0.10549999999999689,-0.24948829420902108,-0.24948829420902108,,,
future_holdout,孔隙水,孔隙水1,LSTM,0.12664340701639584,0.10405600893989989,-0.06951213639425458,-0.06951213639425458,,,
future_holdout,孔隙水,孔隙水1,Transformer,0.12183859884297017,0.11101424185737016,0.01010224845162666,0.01010224845162666,,,
future_holdout,孔隙水,孔隙水1,TCN,0.1256949841555594,0.11369459697256919,-0.053553128503797565,-0.053553128503797565,,,
future_holdout,孔隙水,孔隙水1,Stacking,0.12244806948880238,0.10429971432658315,0.00017398927641476547,0.00017398927641476547,0.6,0.24608273953163007,0.2368990170839965
test,孔隙水,孔隙水2,Persistence,0.30821080843965676,0.2109756097561007,0.9003664895159975,0.9003664895159975,,,
test,孔隙水,孔隙水2,LSTM,0.32543661571375326,0.24624842893416,0.8889182960274767,0.8889182960274767,,,
test,孔隙水,孔隙水2,Transformer,0.3005920460982799,0.22682480718926243,0.9052313547027987,0.9052313547027987,,,
test,孔隙水,孔隙水2,TCN,0.3376660756824245,0.25281207019733526,0.8804128366706896,0.8804128366706896,,,
